 * Serving Flask app 'api'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://192.168.50.138:5004
Press CTRL+C to quit
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:31] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:23] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:23] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:23] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:33] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:33] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:33] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:33] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:33] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:58:34] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:59:46] "GET /api/getFeatures/ABC123 HTTP/1.1" 404 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:08] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:14] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:00:36] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:01:14] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:01:14] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:01:15] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:36] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:41] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:41] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:41] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:41] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:41] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:04:42] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:18] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:25] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:25] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:25] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:26] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:26] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:26] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:05:29] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 18:06:40] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
